book1,book2,start_ms1,start_ms2,start1,start2,end_ms1,end_ms2,end1,end2,text1,text2
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,787,4,705,464,787,4,805,564, قيسارية من فلسطين وهرب هرقل فعلي هذا القول تكون الجزيرة من فتوح اهل العراق والاكثر علي انها من فتوح اهل الشام فان ابا عبيدة سير عياض بن غنم الي الجزيرة وقيل, قيسارية من فلسطين وهرب هرقل فعلي هذا القول تكون الجزيرة من فتوح اهل العراق والاكثر علي انها من فتوح اهل الشام فان ابا عبيدة سير عياض بن غنم الي الجزيرة وقيل
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,1187,53,1501,1185,1188,54,676,149, المدينة الوليد بن عتبة وعليms1187 خراسان عبد الرحمن بن زياد وعلي سجستان عباد بن زياد وعلي كرمان شريك بن الاعور وفيها مات قيس بن سعد بن عبادة الانصاري بالمدينة وقيل سنة ستين وكان قد شهد مع علي مشاهده كلها وفيها مات سعيد بن العاص وولده عام الهجرة وقتل ابوه يوم بدر كافرا وفيها مات مرة بن كعب البهري السلمي وله صحبة وفيها مات ابو محذورة الجمحي مءذن رسول الله بمكة ولم يزل يءذن بها حتي مات وولده من بعده وقيل مات سنة تسع وستين وفيها مات عبد الله بن عامر بن كريز بمكة فدفن بعرفات وفيها مات ابو هريرة فحمل جنازته ولد عثمان بن عفان لهواه كان في عثمان وفيها غزا المسلمون حصن كمخ ومعهم عمير بن الحباب السلمي فصعد عمير السور ولم يزل يقاتل عليه وحده حتي كشف الروم فصعد المسلمون ففتحه بعمير وبذلك كان يفتخر ويفخر له بذلك ثم دخلت سنة ستين في هذه السنة, السنة من الاعيان اسامة بن زيد ابو محمد الحب ابن الحب وجرول اين مالك بن جوية بن مخزوم بن مالك بن غالب بن قطيعة بن عبس المعررف بالحطيثة وعبد الله بن عامر بن كريز بن ربيعة بن خبيب بن عبد شمس بن عبد مناف وعبد الله ابو مريرة وعبد الله ابن بحينة وبحينة امه وابوه مالك بن القشب ويكتي ابا محمد وقيس بن سعد بن عبادة بن دليم بنms053 حارثة ابو عبيد الله ومعقل بن يسار بن عبد الله ابو عبد الله وقيل ابو علي المزني وهند بنت ابي امية واسمه سهيل وهي ام سلمة لم دخلت سنة ستين وفيها توفي معاوية بن ابي سفيان وكان قد
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,1403,86,1182,727,1403,86,1235,774, غواربهم وقيس عيلان من اخلافها ضجروا في ابيات كثيرة فلما قتل عمير بن الحباب وقف رجل علي اسماء بن خارجة الفزاري, وقيس عيلان من اخلاقها الضجر في ابيات كثيرة فلما قتل عمير بن الحباب وقف رجل علي اسماء بن خارجة الفزاري
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,1493,108,793,1243,1493,109,1041,308, ابي بكرة علي سجستان وكان الحجاج قد استخلف علي الكوفة عند مسيره الي البصرة المغيرة بن عبد الله بن ابي عقيل فلما استعمل المهلب علي خراسان سير ابنه حبيبا اليها فلما ودع الحجاج اعطاه بغلة خضراء فسار عليها واصحابه علي البريد فسار عشرين يوما حتي وصل خراسان فلما دخل باب مرو لقيه حمل حطب فنفرت البغلة فعجبوا, ابي بكرة علي سجستان وكان الحجاج قد استخلف علي الكوفة عند مسيره الي البصرة المغيرة بن عبد الله بن ابي عقيل فلما استعمل المهلب علي خراسان سير ابنه حبيبا اليها فلما ودع الحجاج اعطاه بغلة خضراء فسار عليها واصحابه علي البريد فسار عشرين يوما حتي وصل خراسان فلما دخل باب مرو لقيه حمل حطب فنفرت البغلة فعجبوا من نفارها بعد ذلك التعب وشدة السير فلما وصلms108 خراسان لم يعرض لامية ولا لعماله واقام عشرة اشهر حتي قدم عليه المهلب سنة تسع وسبعين وفيها فرغ الحجاج من بناء واسط وحج بالناس في هذه السنة ابان بن عثمان امير المدينة وتوفي في هذه السنة من الاعيان جابر بن عبد الله رضي الله عنه لم دخلت سنة تسع وسبعين وفيها اصاب اهل الشام طاعون شديد كادوا يفنون من شدته فلم يغز تلك السنة احد وفيها قدم المهلب
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,1676,151,1477,427,1677,151,138,1126, عبد الاعلي فاغلظ له مالكms1676 وضربه بالسياط حتي قتله الاسيدي بضم الهمزة وتشديد الياء تحتها نقطتان وفيها غزا مسلمة بن عبد الملك الترك من ناحية اذربيجان وسبي وعاد سالما وحج بالناس هذه السنة ابراهيم, عبد الاعلي فاغلظ له مالك وامر به فضرب بالسياط حتي مات وفيها مات مسلم بن صبران بافريقية وفيها غزا مسلمة بن عبد الملك الخزر وسبي باذربيجان وعلي مصر عبيد الله بن الحبحاب وامير الموصل الحر بن يوسف وهو مجد في حفر النهر وينفق عليه الاموال ولا يحمل الي هشام شيءا وكان للحر بن يوسف ابن يقال له سلمة وكان فصيحا شاعرا فارق اباه وخرج الي البدو وكان تبدي بتواحي الثعلبية من طريق مكة حدثني عبد الله بن علي العدوي قال حدثنا احمد بن زهير قال حدثنا مصعب بن عبد الله الزبيري قال كان سلمة بن الحر شاعرا وهو الذي يقول سايوي بحر الثعليية ما ثوت حليلة منصور بها لا اريمها وارحل عنها ان رحلت وعندنا اياد لها معروفة لا اذيمها وقد علمت بالغيب الا اودها اذا مي لم يكرم علي كريمها تقر لعيني ان اراها بنعمة وان كان لا يجدي علي نعيمها واقام الحج للناس ابراهيم بن هشام المخزومي وذكر
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,1945,276,779,1541,1945,277,990,324, ولم تعرف فيك امهات الاولاد فقد رايتك فخرت علي بني هاشم طرا فانظر ويحك اين انت من الله غدا فانك قد تعديت طورك وفخرت علي من هو خير منك نفسا وابا واولادا واخا ابراهيم رسول الله وما خيار بني ابيك خاصة واهل الفضل منهم الا بنو امهات الاولاد ما ولد فيكم بعد وفاة رسول الله, رسول الله لم يلده هاشم ولا عبدms276 المطلب الا مرة وزعمت انك اوسط قريش نسبا واصرحهم اما وابا وانك لم تلدك العجم ولم تعرف امهات الاولاد فقد رايتك فخرت علي بني هاشم طرا فانظر ويحك اين انت من الله غدا فانك قد تعديت طورك وفخرت علي من هو خير منك نفسا وابا واولا واخرا ابراهيم بن رسول الله وعلي والد اولده وما خيار بني ابيك خاصة واهل الفضل منهم الا بنو امهات اولاد وما ولد فيكم بعد وفاة رسول
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,2329,472,758,600,2329,472,1118,961, فقام واخبره فقال المنتصر يا امير المءمنين ان الذي يحكيه هذا الكلب ويضحك منه الناس هو ابن عمك وشيخ اهل بيتك وبه فخرك فكل انت لحمه اذا شءت ولا تطعم هذا الكلب وامثال منه فقال المتوكل للمغنين غنوا جميعا غار الفتي لابن عمه راس الفتي في حر امه فكان هذا من الاسباب التي استحل بها المنتصر قتل المتوكل وقيل ان المتوكل كان يبغض من تقدمه من الخلفاء المامون والمعتصم والواثق في محبة علي واهل بيته وانما كان ينادمه ويجالسه جماعة, فقام واخبره فقال المنتصر يا امير المءمنين ان الذي يحكيه هذا الكلب ويضحك منه الناس هو ابن عمك رشيخ اهل بيتك وبه فخرك فكل انت لخمه اذا شءت ولا تطعم هذا الكلب وامثاله منه فقال المتوكل للمغنين غنوا جميعا غار الفتي لابن عمه راس الفتي في حر امه فكان هذا من الاسباب التي استحل بها المنتصر قتل المتوكل وقيل ان المتوكل كان يبغض من تقدمه من الخلفاء المامون والمعتصم والواثق في محبة علي واهل بيته وانما كان ينادمه ويجالسه جماعة
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,2338,480,330,757,2338,480,1181,778, حتي احوجهم الي محاربته علي ما نذكره ان شاء الله تعالي ذكر الحرب بين المسلمين والفرنج بالاندلس وفي هذه السنة في المحرم كان بين المسلمين والفرنج حرب شديدة بالاندلس وسبب ذلك ان اهل طليطلة كانوا علي ما ذكرنا من الخلاف علي محمد بن عبد الرحمن صاحب الاندلس وعلي ابيه من قبله فلما كان الان سار محمد في جيوشه الي طليطلة فلما سمع اهلها بذلك ارسلوا الي ملك جليقية يستمدونه والي ملك بشكنس فامداهم بالعساكر الكثيرة فلما سمع محمد بذلك وكان قد قارب طليطلة عبي اصحابه وقد كمن لهم الكمناء بناحية وادي سليط وتقدم اليهم وهو في قلة من العسكر فلما راي اهل طليطلة ذلك اعلموا الفرنج بقلة عددهم فسارعوا الي قتالهم وطمعوا فيهم فلما تراءي الجمعان وانتشب القتال خرجت الكمناء من كل جهة علي المشركين واهل طليطلة فقتل منهم ما لا يحصي وجمع من الرءساء ثمانية الاف راس فرقت في البلاد فذكر اهل طليطلة ان عدة القتلي من الطاءفتين عشرون الف قتيل وبقيت جثث القتلي علي وادي سليط دهرا طويلا ذكر عدة حوادث في هذه السنة عزل يحيي بن اكثم عن القضاء, احوجهم الي محاربته وفيها مات احمد بن ابي دءاد ببغداد في المحرم بعد ابنه ابي
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,2371,504,844,1322,2371,504,980,1385, الاعيان وفيها مات جعفر بن احمد بن عمار القاضي واحمد بن عبد الكريم الحوراني التيمي قاضي البصرة وفيها ولي احمد بن الوزير قضاء سامرا وفيها وثب الشاكرية والجند بفارس بعبد الله بن اسحاق بن ابراهيم, جماعة من اهلها الاعيان وفيها ولي احمد بن الوزير قضاء سامراء وفيها وثب الشاكرية والجند بفارس بعبد الله بن اسحاق بن ابراهيم
0630IbnAthirCizzDin.Kamil,0334Azdi.TarikhMawsil,2390,507,554,115,2390,507,679,240, وزنجان فطرد عمال طاهر عنها وفيها قطعت بنو عقيل طريق جدة فحاربهم جعفر بشاشات فقتل من اهل مكة نحو ثلاثماءة رجل فغلت الاسعار بمكة واغارت الاعراب علي القري وفيها ظهر اسماعيل بن يوسف بن, وزنجان فطرد عمال طاهر عنها وفيها قطعت بنر عقيل طريق جدة فحاربهم جعفر بشاشات فقتل من اهل مكة نحو ثلاثماءة رجل فغلت الاسعار بمكة واغارت الاعراب علي القري وفيها ظهر اسماعيل بن يوسف بن
