book1,book2,start_ms1,start_ms2,start1,start2,end_ms1,end_ms2,end1,end2,text1,text2
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1197,4,376,1444,1197,5,460,191, ابدا اشكل منها حين تستدبرها قال يا اخي قد نصحت واشفقت وارجو ان يكون رايك سديدا وموفقا ان شاء الله ثم دخل المسجد وهو يتمثل بقول يزيد بن مفرغ, منها حين تستدبرها استدبارا قال يا اخي قد نصحت فاشفقت فارجو انms004 يكون رايك سديدا موفقا قال ابو مخنف وحدثني عبد الملك بن نوفل بن مساحق عن ابي سعيد المقبري قال نظرت الي الحسين داخلا مسجد المدينة وانه ليمشي وهو معتمد علي رجلين يعتمد علي هذا مرة وعلي هذا مرة وهو يتمثل بقول ابن مفرغ لا
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1212,32,916,404,1212,32,954,677, بسيفك دوني قد اخفرت ذمتك فاصعد مسلم فوق القصر وهو يستغفر ويسبح واشرف به علي موضع الحداءين, بسيفك دوني فقد اخفرت ذمتك ثم قال يا بن زياد اما والله لو كانت بيني وبينك قرابة ما قتلتني ثم قال ابن زياد اين هذا الذي ضرب ابن عقيل راسه بالسيف وعاتقه فدعي فقال اصعد فكن انت الذي تضرب عنقه فصعد به وهو يكبر ويستغفر ويصلي علي ملاءكة الله ورسله وهو يقول اللهم احكم بيننا وبين قوم غرونا وكذبونا واذ لونا واشرف به علي موضع الجرارين
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1219,47,637,138,1220,47,1323,307, بالناس عمرو بن سعيد العاص الاشدق وكان العامل علي مكة والمدينة وفيها مات جرهد الاسلمي له صحبة وفي ايام معاوية مات حارثة بن النعمان الانصاري وهو بدري وفي ايامه ايضا مت دحية بن خليفة الكلبي الذي كان يشبهه جبريل اذا نزل بالوحي وفي اول خلافته مات رفاعة بن رافع بن مالك بن العجلان الانصاري وكان بدريا وشهد مع علي الجمل وصفين وفي ايامه مات عمرو بن امية الضمري بالمدينة وفي ايامه مات عثمان بن حنيف الانصاري وعثمان بن ابي العاص الثقفي وفي ايامه مات عتبان بن مالك الانصاري شهد بدرا وفي ايام معاوية مات سهل بن الحنظلية وهو ابن الربيع الانصاري بدمشق وفي ايامه بعد سنة سبع وخمسين مات الساءب بن ابي وداعة السهمي ومات في ايامه سراقة بن عمرو الانصاري وهو بدري وفي ايامه مات زياد بن لبيد الانصاري في اولها وهو بدري وفي ايامه مات معقل بن يسار المزني واليه ينسب نهر معقل بالبصرة وقيل مات في ايام يزيد معقل بالعين المهملة والقاف ويسار بالياء المثناة والسين المهملة وفي ايامه مات ناجية بن جندب بن عمير صاحب بدن النبي وفيها ماتms1219 نعيمان بن عمرو بن رفاعة الانصاري وهو الذي كان فيه مزاح ودعابة وشهد بدرا وقيل بل الذي مات ابنه وفي اخر ايامه مات عبد الله بن مالك بن بحينة له صحبة وفيها مات عبد الله بن مغفل بن عبد غنم المزني بالبصرة مغفل بضم الميم وفتح الغين المعجمة وفتح الفاء المشددة وفي ايامه مات هند بن جارية بن هند الاسلمي وفي سنة ستين توفي حكيم بن حزام وله ماءة وعشرون سنة ستون في الجاهلية وستون في الاسلام وفيها مات ابو اسيد الساعدي واسمه مالك بن ربيعة وهو بدري وقيل مات سنة خمس وستين وهو اخر من مات من البدريين وقيل مات سنة ثلاثين ولا يصح وفي اول ايام معاوية مات ابو بردة هانء بن نيار البلوي حليف الانصار وهو عقبي بدري وشهد مع علي حروبه كلها وفي ايامه مات ابو ثعلبة الخشني له صحبة وقيل مات سنة خمس وسبعين وفي ايامه مات ابو جهم بن حذيفة العدوي القرشي في اخرها وقيل شهد بنيان الكعبة ايام ابن الزبير وكان قد شهد قريشا حين بنتها وفي اول ايامه مات ابو حثمة الانصاري والد سهل وفي اخر ايامه مات ابو قيس الجهني شهد الفتح وفي سنة ستين توفي صفوان بن المعطل السلمي بسميساط وقيل انه قتل شهيدا قبل هذا وفيها توفيت الكلابية التي استعاذت من النبي حين تزوجها ففارقها وكانت قد اصابها جنون وتوفي بلال بن الحارث المزني ابو عبد الرحمن وفي اخر ايامه مات واءل بن حجر الحضرمي وابو ادريس الخولاني هند بن جارية بالجيم والياء المثناة من تحتها وحارثة بن النعمان بالحاء المهملة والثاء المثلثة ابو اسيد بضم الهمزة وفتح السين ثم دخلت سنة احدي وستين ذكر مقتل الحسين رضي الله عنه وسار الحسين من شراف فلما انتصف, يغلب علي امره ثم ارتحل منها مقتل الحسين عليه السلام واصحابه واعوانه وسبي اهله وعياله واسرهن عن ابي مخنف قال حدثني ابو جناب عن عدي بن حرملة عن عبد الله بن سليم والمذري بن المشمعل الاسديين قالا اقبل الحسين ع حتي نزل شراف فلما
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1219,46,637,1483,1220,47,1323,307, بالناس عمرو بن سعيد العاص الاشدق وكان العامل علي مكة والمدينة وفيها مات جرهد الاسلمي له صحبة وفي ايام معاوية مات حارثة بن النعمان الانصاري وهو بدري وفي ايامه ايضا مت دحية بن خليفة الكلبي الذي كان يشبهه جبريل اذا نزل بالوحي وفي اول خلافته مات رفاعة بن رافع بن مالك بن العجلان الانصاري وكان بدريا وشهد مع علي الجمل وصفين وفي ايامه مات عمرو بن امية الضمري بالمدينة وفي ايامه مات عثمان بن حنيف الانصاري وعثمان بن ابي العاص الثقفي وفي ايامه مات عتبان بن مالك الانصاري شهد بدرا وفي ايام معاوية مات سهل بن الحنظلية وهو ابن الربيع الانصاري بدمشق وفي ايامه بعد سنة سبع وخمسين مات الساءب بن ابي وداعة السهمي ومات في ايامه سراقة بن عمرو الانصاري وهو بدري وفي ايامه مات زياد بن لبيد الانصاري في اولها وهو بدري وفي ايامه مات معقل بن يسار المزني واليه ينسب نهر معقل بالبصرة وقيل مات في ايام يزيد معقل بالعين المهملة والقاف ويسار بالياء المثناة والسين المهملة وفي ايامه مات ناجية بن جندب بن عمير صاحب بدن النبي وفيها ماتms1219 نعيمان بن عمرو بن رفاعة الانصاري وهو الذي كان فيه مزاح ودعابة وشهد بدرا وقيل بل الذي مات ابنه وفي اخر ايامه مات عبد الله بن مالك بن بحينة له صحبة وفيها مات عبد الله بن مغفل بن عبد غنم المزني بالبصرة مغفل بضم الميم وفتح الغين المعجمة وفتح الفاء المشددة وفي ايامه مات هند بن جارية بن هند الاسلمي وفي سنة ستين توفي حكيم بن حزام وله ماءة وعشرون سنة ستون في الجاهلية وستون في الاسلام وفيها مات ابو اسيد الساعدي واسمه مالك بن ربيعة وهو بدري وقيل مات سنة خمس وستين وهو اخر من مات من البدريين وقيل مات سنة ثلاثين ولا يصح وفي اول ايام معاوية مات ابو بردة هانء بن نيار البلوي حليف الانصار وهو عقبي بدري وشهد مع علي حروبه كلها وفي ايامه مات ابو ثعلبة الخشني له صحبة وقيل مات سنة خمس وسبعين وفي ايامه مات ابو جهم بن حذيفة العدوي القرشي في اخرها وقيل شهد بنيان الكعبة ايام ابن الزبير وكان قد شهد قريشا حين بنتها وفي اول ايامه مات ابو حثمة الانصاري والد سهل وفي اخر ايامه مات ابو قيس الجهني شهد الفتح وفي سنة ستين توفي صفوان بن المعطل السلمي بسميساط وقيل انه قتل شهيدا قبل هذا وفيها توفيت الكلابية التي استعاذت من النبي حين تزوجها ففارقها وكانت قد اصابها جنون وتوفي بلال بن الحارث المزني ابو عبد الرحمن وفي اخر ايامه مات واءل بن حجر الحضرمي وابو ادريس الخولاني هند بن جارية بالجيم والياء المثناة من تحتها وحارثة بن النعمان بالحاء المهملة والثاء المثلثة ابو اسيد بضم الهمزة وفتح السين ثم دخلت سنة احدي وستين ذكر مقتل الحسين رضي الله عنه وسار الحسين من شراف فلما انتصف, كان ذلك رايا فاما علي هذهms046 الحال التي تذكرها فاني لا اري لك ان تفعل قال فقال له يا عبد الله انه ليس يخفي علي الراي ما رايت ولكن الله لا يغلب علي امره ثم ارتحل منها مقتل الحسين عليه السلام واصحابه واعوانه وسبي اهله وعياله واسرهن عن ابي مخنف قال حدثني ابو جناب عن عدي بن حرملة عن عبد الله بن سليم والمذري بن المشمعل الاسديين قالا اقبل الحسين ع حتي نزل شراف فلما
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1224,53,666,173,1224,53,759,655, ما تتصرف بنا وبهم الامور فودعه وسار الي اهله ووعده ان يوصل الميرة الي اهله ويعود الي نصره ففعل ثم عاد الي الحسين فلما بلغ عذيب الهجانات لقيه خبر, بنا وبهم الامور في عاقبه قال ابو مخنف فحدثني جميل بن مرثد قال حدثني الطرماح ابن عدي فودعته وقلت له دفع الله عنك شر الجن والانس اني قد امترت لاهلي من الكوفة ميرة ومعي نفقة لهم فاتيهم فاضع ذلك فيهم ثم اقبل اليك ان شاء الله فان الحقك فوالله لاكونن من انصارك قال فان كنت فاعلا فعجل رحمك الله قال فعلمت انه مستوحش الي الرجال حتي يسالني التعجيل قال فلما بلغت اهلي وضعت عندهم ما يصلحهم واوصيت فاخذ اهلي يقولون انك لتصنع مرتك هذه شيءا ما كنت تصنعه قبل اليوم فاخبرتهم بما اريد واقبلت في طريق بني ثعل حتي اذا دنوت من عذيب الهجانات استقبلني سماعة
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1227,58,633,1462,1227,59,669,891, وثلاثين فارسا فدنوا من الماء فقاتلوا عليه وملاوا القرب وعادوا ثم بعث الحسين الي عمرو بن سعد, علي الحسين واصحابه العطشms058 دعا العباس بن علي بن ابي طالب اخاه فبعثه في ثلاثين فارسا وعشرين راجلا وبعث معهم بعشرين قربة فجاءوا حتي دنوا من الماء ليلا واستقدم امامهم باللواء نافع بن هلال الجملي فقال عمرو بن الحجاج الزبيدي من الرجل فجء ما جاء بك قال جءنا نشرب من هذا الماء الذي حلاتمونا عنه قال فاشرب هنيءا قال لا والله لا اشرب منه قطرة وحسين عطشان ومن تري من اصحابه فطلعوا عليه فقال لا سبيل الي سقي هءلاء انما وضعنا بهذا المكان لنمنعهم الماء فلما دنا منه اصحابه قال لرجاله املءوا قربكم فشد الرجالة فملاوا قربهم وثار اليهم عمرو بن الحجاج واصحابه فحمل عليهم العباس بن علي ونافع بن هلال فكفوهم ثم انصرفوا الي رحالهم فقالوا امضوا ووقفوا دونهم فعطف عليهم عمرو بن الحجاج واصحابه واطردوا قليلا ثم ان رجلا من صداء طعن من اصحاب عمرو بن الحجاج طعنه نافع بن هلال فظن انها ليست بشء ثم انها انتقضت بعد ذلك فمات منها وجاء اصحاب حسين بالقرب فادخلوها عليه قال ابو مخنف حدثني ابو جناب عن هاني بن ثبيت الحضرمي وكان قد شهد قتل الحسين قال بعث الحسين ع الي عمر بن سعد
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1227,59,1039,1489,1227,60,1058,140, ذلك عمر وتحدث الناس بذلك ولم يسمعوه وقيل بل قال له اختاروا مني واحدة من, عمر قال فتحدث الناس بذلك وشاع فيهم من غيرms059 ان يكونوا سمعوا من ذلك شيءا ولا علموه قال ابو مخنف واما ما حدثنا به المجالد بن سعيد والصقعب بن زهير الازدي وغيرهما من المحدثين فهو ما عليه جماعة المحدثين قالوا انه قال
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1232,69,1535,1523,1233,70,162,850, فيه الفءاد وتقل فيه الحيلةms1232 ويخذل فيه الصديق ويشمت به العدو انزلته بك وشكوته اليك رغبة اليك عمن سواك ففرجته وكشفته وكفيتنيه فانت ولي كل نعمة وصاحب كل حسنة ومنتهي كل رغبة فلما راي اصحاب عمر النار تلتهب في القصب نادي شمر, الحسين يديه فقال اللهم انتms069 ثقتي في كل كرب ورجاءي في كل شدة وانت لي في كل امر نزل بي ثقة وعدة كم من هم يضعف فيه الفءاد وتقل فيه الحيلة ويخذل فيه الصديق ويشمت فيه العدو انزلته بك وشكوته اليك رغبة مني اليك عمن سواك ففرجته وكشفته فانت ولي كل نعمة وصاحب كل حسنة ومنتهي كل رغبة قال ابو مخنف فحدثني عبد الله بن عاصم قال حدثني الضحاك المشرقي قال لما اقبلوا نحونا فنظروا الي النار تضطرم في الحطب والقصب الذي كنا الهبنا فيه النار من وراءنا لءلا ياتونا من خلفنا اذ اقبل الينا منهم رجل يركض علي فرس كامل الاداة فلم يكلمنا حتي مر علي ابياتنا فنظر الي ابياتنا فاذا هو لا يري الي حطبا تلتهب النار فيه فرجع راجعا فنادي باعلي صوته يا حسين استعجلت النار في الدنيا قبل يوم القيامة فقال الحسين من هذا كانه شمر بن ذي الجوشن فقالوا نعم اصلحك الله هو هو فقال يا بن راعية المعزي انت اولي بها صليا فقال له مسلم بن عوسجة يا بن رسول الله جعلت فداك الا ارميه بسهم فانه قد امكنني وليس يسقط سهم فالفاسق من اعظم الجبارين فقال له الحسين
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1243,89,779,1339,1243,90,805,572, القوم فافرجوا لي وتبعني منهم خمسة عشر رجلا ففتهم وسلمت وجثا ابو الشعثاء الكندي وهو, وقال لي الحسين يومءذ مرارا لا تشلل لا يقطع الله يدك جزاك الله خيرا عن اهل بيت نبيك صلي الله عليه واله فلما اذن لي استخرجت الفرسms089 من الفسطاط ثم استويت علي متنها ثم ضربتها حتي اذا قامت علي السنابك رميت بها عرض القوم فافرجوا لي واتبعني منهم خمسة عشر رجلا حتي انتهيت الي شفية قرية قريبة من شاطء الفرات فلما لحقوني عطفت عليهم فعرفني كثير بن عبد الله الشعبي وايوب بن مشرح الخيواني وقيس بن عبد الله الصاءدي فقالوا هذا الضحاك بن عبد الله المشرقي هذا ابن عمنا ننشدكم الله لما كففتم عنه فقال ثلاثة نفر من بني تميم كانوا معهم بلي والله لنجيبن اخواننا واهل دعوتنا الي ما احبوا من الكف عن صاحبهم قال فلما تابع التميميون اصحابي كف الاخرون قال فنجاني الله قال ابو مخنف حدثني فضيل بن خديج الكندي ان يزيد بن زياد وهو ابو الشعثاء الكندي من بني بهدلة
0630IbnAthirCizzDin.Kamil,0157AbuMikhnafAzdi.MaqtalHusayn,1245,99,1067,333,1245,99,1101,670, انه هانء بن ثبيت الحضرمي فقتله مقتل الامام الحسين رضي الله عنه واشتد عطش الحسين فدنا من, قال فوالله اني لواقف عاشر عشرة ليس منا رجل الا علي فرس وقد جالت الخيل وتصعصعت اذ خرج غلام من ال الحسين وهو ممسك بعود من تلك الابنية عليه ازار وقميص وهو مذعور يلتفت يمينا وشمالا فكاني انظر الي درتين في اذنيه تذبذبان كلما التفت اذ اقبل رجل يركض حتي اذا دنا منه مال عن فرسه ثم اقتصد الغلام فلما عتب عليه كني عن نفسه قال هشام حدثني عمرو بن شمر عن جابر الجعفي قال عطش الحسين حتي اشتد عليه العطش
